entrez	order	max_neg	min_neg	mean_neg	sd_neg	GO_P1	GO_P2	GO_P3	GO_P4	GO_P5	GO_P6	GO_P7	GO_P8	GO_P9	GO_P10	GO_P11	GO_P12	GO_P13	GO_P14	GO_P15	GO_P16	GO_P17
128853	756	6.316333	5.801	6.04776148623853	0.0862416704043991	5.40113466956855e-06	0.000177073300284437	4.04724621689521e-05	0.011541732499846	2.21142848441903e-06	5.15680239821814e-05	6.27723470819011e-06	8.67589587330213e-06	0.00280552031427573	0.0121458238906172	2.23787012877377e-07	0.0217657525708289	1	2.89542689683877e-05	0.000476563686663147	0.00487452664249088	0.0042663944087723
84203	2560	6.810667	5.902	6.12866055963303	0.126965193293749	0.0322746581873969	0.0181693061397928	1	1	0.0241593808160265	0.00994769281811458	0.033890405867409	1	0.0709086201272494	0.0110474759073961	1	0.019806235938988	0.000154064050614785	1	0.029576340245279	1	1
2047	11955	9.559	5.927	6.68143119266055	0.563584023230104	0.000519458079781707	0.00348102430985521	0.000814300165859312	0.0494447190735843	1.08788300752802e-07	0.00103470999482349	1.42030607396612e-08	2.26951026748989e-19	7.99449791069007e-16	0.0519796739868831	2.13391665281514e-09	0.00413243807838996	1	7.79785374442126e-06	3.10553786628457e-07	9.8438784482683e-07	0.000144700886083217
80737	15176	6.936	5.804	6.20911926605505	0.177917621635254	1	1	1	1	1	1	1	1	1	1	0.00465424744206044	1	1	0.0226725697784349	0.0119352166068041	0.00177496698227297	0.00155322542998393
119692	2879	6.399	5.602	6.00562385321101	0.143364324103858	0.0194895667873421	1	1	1	0.0145648634064335	1	0.000173206361921844	0.00021465927130468	0.000783750067791829	1	0.0069736275705452	1	1	1	0.000131228119262936	0.00266141625398386	0.00232906237992259
78999	306	9.064	5.743	6.95350458715596	0.622910828643817	0.000373920057662316	0.0163668799661508	0.00796544130765275	0.00945266666452393	0.000207543093489516	0.00895714523714242	0.00041293583647995	0.000511365042490082	3.12607582935805e-05	0.00994796784792418	4.63473463474682e-05	0.0178429034120761	1	0.0502985986206728	8.97646492336069e-09	0.00398979867873261	0.00349184890582477
2026	2855	9.368	6.118	7.71985321100917	0.680004845103764	1.47557743429135e-05	0.000336502211386774	7.71056607185903e-05	0.0157073487894374	4.13916372626637e-08	9.82151811687711e-05	1.68600388895939e-07	2.6038905620818e-07	0.00016395986666918	0.0165276382370818	3.83505453269746e-12	0.000400929505178571	1	1.30970805356348e-06	1.12866705198694e-05	2.60746274767084e-08	0.0058139374704208
285242	5461	6.535	5.605	6.00952293577982	0.143064320961035	0.0417557919170386	1	1	1	0.0312952984880991	1	0.0438353373591891	1.37184569051689e-07	0.00394075494630658	1	0.0150509896165614	1	1	0.0718414390948675	0.0382806031375682	0.00575856688569854	0.00504042383477743
6626	4507	9.589	6.034	8.68763302752293	0.502371499334434	5.40113466956855e-06	0.000177073300284437	0.0097274427861811	5.7615655800818e-05	0.0265437092947077	0.0109373052975277	0.0372166383660885	0.000777390887620734	0.00280552031427573	6.39960751819199e-05	7.07089476207666e-05	0.000211069620576121	1	0.0611312059771608	0.000476563686663147	1	1
10324	14278	7.443	5.9415	6.36576605504587	0.32409546182276	1.01820760126399e-08	8.05416435888484e-08	1.00648619753329e-06	0.000263039310947497	2.64724250020996e-07	1.46415327334496e-06	1.07142516061209e-06	1.65061528126156e-06	2.18739771584549e-05	2.04210392158899e-06	2.38047123076804e-06	0.000956386999964491	0.000852962575245773	0.00757122626452387	4.31916265747625e-05	0.0101684683238111	0.00890283983656659
219348	3405	12.656	6.609	8.90767889908257	1.25541088803283	0.00653846532738689	0.0036597507319599	0.00177526247349202	0.00210794860292551	0.00487817671588553	0.00199705938730177	0.00687035670662239	0.00764455429494015	0.0145987479061798	0.00221883165769488	1.29377939224196e-06	0.003992122657827	1	3.23629673687952e-05	8.81618242999161e-06	0.000887828384081746	0.000776871399061463
83939	17530	10.53	8.185	9.15946788990826	0.388084793350326	2.19500230101029e-05	0.000434852483394417	0.014995859631327	0.017783914987479	0.000774371664456444	0.000127061519010356	2.54913632958849e-05	0.00189394494443492	0.00674072008212452	7.87431835973726e-07	0.000174108056849089	0.0334431211223535	0.031613133008326	0.00416167310732981	1.67965254521591e-05	1	1
2068	9200	8.743	6.144	7.34316513761468	0.413598156959176	2.61809410018597e-06	2.79408767902563e-15	1.63480519647686e-11	6.82032515289517e-09	0.000583614633274998	5.13717923243108e-07	3.35503859217022e-06	6.40777522936574e-09	6.11976679959113e-14	5.35442510839254e-05	0.00273290464184081	9.40348359014574e-06	0.119073538891988	4.03588364221534e-05	4.80099104423775e-05	1	1
7919	10013	8.507	7.279333	7.89641588073394	0.208665183280391	9.53294993127659e-08	4.68939315300711e-07	0.000432429520887464	6.36908357855569e-06	1.53230518922201e-06	0.000550004096944839	6.14260254799902e-06	2.11046193117399e-07	5.32170118519256e-06	5.6526336844856e-08	0.000752150663941111	7.41160749448623e-09	0.0640282357910983	0.181958216623618	0.000155611429790017	1	1
